Name, Type, Ratio
hadoop, assign, 8.4784197322525
hadoop, call, 2.6190850616541907
hadoop, return, 6.369374538896631
fineract, assign, 0.1677928438619564
fineract, call, 2.305970875360815
fineract, return, 3.0254534369760706
wicket, assign, 1.4428571428571428
wicket, call, 1.6042032612581802
wicket, return, 4.979329352319706
nifi, assign, 0.9087517322247095
nifi, call, 0.8413625767557026
nifi, return, 2.7660906151117914
jena, assign, 5.9930265474505475
jena, call, 2.667228906784137
jena, return, 3.4779158952658027
tomcat, assign, 2.9235202305198706
tomcat, call, 2.280899912406067
tomcat, return, 8.418938307030128
solr, assign, 2.466059460388383
solr, call, 1.8670246416392786
solr, return, 4.6067084166694
hive, assign, 3.9224011625473185
hive, call, 3.9936831022986485
hive, return, 3.8198525483491825
